,price
361348,12998
347329,16911
309889,10999
201193,15995
202723,17995
126803,25918
279678,27990
184462,4499
383735,3195
260203,19900
152955,28776
386343,17950
267849,21988
389512,18995
157387,27590
419178,9800
245883,16221
367338,36000
375836,7990
365883,12588
318195,11995
284503,17631
409753,10995
296091,17995
213535,26990
108516,11900
145753,30998
238272,20590
284666,14919
336562,18995
278215,1000
256147,8950
242632,41975
329951,19498
97455,32900
197759,14995
105093,39995
258366,27999
365993,21590
193316,19990
203895,13800
164782,15725
401762,8500
395822,31900
342299,18599
367978,22775
324908,5995
391384,5799
85198,36995
332280,15998
63014,8999
224319,27980
285925,22590
182413,9950
386705,20990
96750,20995
114829,19745
207300,8899
403605,14997
186422,7500
292318,14153
299328,22895
400046,9998
102037,17500
116571,65995
379321,18493
322305,19500
144927,15717
270807,2700
150698,11959
69341,7995
198573,11995
112690,7995
284054,24988
288299,14990
226321,6995
315697,25925
148958,48800
318338,8499
206069,20990
357460,14998
395970,9999
9989,18990
78407,14864
186482,29990
261006,5495
210939,11995
287614,7995
314753,7500
409369,15995
227951,32856
371346,14990
294132,11900
397183,39900
340731,9895
332659,21977
339388,25500
253220,77995
261236,12650
195159,9999
398958,6999
342183,23999
266777,26000
201366,4900
404936,14887
259619,23999
7506,47795
115144,25995
257780,9995
169816,7900
233026,9500
270881,4500
370118,16500
251139,42995
410007,1100
198588,23995
60309,6999
159825,6499
52947,8900
239901,12500
12003,21995
68903,6999
281933,15590
116244,24995
98809,14500
232585,2900
200036,18995
357056,22995
226022,10495
282864,10000
390388,14995
71030,11999
353926,18000
292721,19900
208037,8995
143336,3799
158165,16995
55036,7999
353728,5990
278630,7990
235931,9000
301193,65995
276143,18995
223313,24988
269122,17995
275194,6999
344,7495
195152,24999
69237,19995
239135,6895
380525,27995
395473,40000
395806,16897
80055,8500
193648,8995
263050,16590
29601,38987
10350,28997
195415,4900
142515,17500
314642,23990
267304,29875
362403,7295
37069,402
211856,8500
210673,14500
5389,3500
7661,4900
25332,21600
351574,13946
263714,12500
342819,3650
227720,13995
376108,58874
328891,16995
396780,14900
32103,32995
201279,11995
289452,5988
387898,29990
226847,12599
54804,495
196150,29900
397897,6500
400450,13997
126716,12317
108552,15900
7184,48995
51079,19989
330645,3495
25883,7995
404315,10596
1292,14900
370073,119997
410718,11200
218827,611
224300,6000
328547,12995
203212,4800
329596,23795
394013,16990
416241,21668
322043,14900
281793,10950
413839,18488
235515,5450
244854,32990
417469,10950
237418,32866
223176,16995
354386,8950
169046,578
101480,15499
310502,11750
284279,13000
227712,13950
215913,39900
35364,8491
332241,15777
102236,24950
120754,2950
298220,6850
228847,486
71903,27995
24081,41550
342884,12990
77083,7490
94870,7980
294717,27988
180388,8500
362115,17590
318321,5888
126637,17900
182677,6000
13452,2800
319713,17990
259584,17895
421268,6399
380009,25499
76898,11995
100129,8500
277429,21998
236120,22658
276075,44495
314516,40998
207007,16000
284484,23904
378092,7988
312505,7000
166223,23000
352462,15995
101123,11995
114939,17990
101296,6500
384754,18991
41109,483
420585,24752
233333,9995
412475,5995
102163,20000
411686,44950
281435,8995
342702,15990
403491,9989
233441,23999
4975,16295
323573,18990
342342,3500
2558,32999
294138,38995
261523,5495
337805,26990
390748,33995
199024,329
53934,19495
420509,5495
422838,20000
406164,37995
348847,36777
1906,15999
213853,37950
167749,27988
159870,16200
371849,4800
249159,25990
220048,10900
377235,7995
232802,14800
241234,25795
186968,15995
233487,17999
397977,19995
270307,9000
378743,6974
356657,20544
296390,14995
113501,25750
220625,13500
279866,18891
198021,7995
334743,5500
275741,22995
340640,24999
194901,21995
382202,7999
389203,500
392654,17650
233972,39999
379936,19795
299667,16495
226326,5995
3157,9999
274522,17595
386829,23799
339242,23590
249266,18990
299093,21981
90419,8420
150,6195
297190,7500
413134,13000
402389,5000
299553,22900
187778,6477
416691,2495
139618,27988
234003,15950
319608,12988
328807,33795
45568,6400
13841,13980
295584,4995
295989,44000
391885,14990
327990,11995
238188,42995
289283,5499
248474,13590
187249,18000
366279,48988
143224,13900
32850,32500
195550,17990
29867,6200
360712,19855
289847,9500
192710,5990
377500,19995
48302,7474
421518,2999
320929,6500
275068,12997
196026,25995
236760,3000
281989,6000
221317,12950
216213,20000
127821,31999
33834,4995
190233,27500
404567,7498
226786,14480
309232,9995
54291,20590
216815,14995
17422,5000
390705,44990
262737,8995
205912,24775
126489,15999
416203,2950
338197,3800
311180,14999
396723,26999
204506,7250
408578,13985
195412,19995
176121,42500
340525,31990
198219,17900
222204,20450
2137,54999
90615,6500
186359,13990
370961,18599
297174,23900
189539,18995
400879,6288
413058,6997
141210,2900
236748,17900
341109,46995
137989,3000
350960,5595
94760,10595
315710,8820
227480,11200
236145,20998
312821,18998
183845,48700
272735,10995
308392,23995
303482,15495
232927,18747
112937,515
291219,5997
48856,16808
395340,21900
291491,8995
264685,23950
245165,16785
418535,18999
140954,14999
86892,35699
6252,11495
291972,16900
20235,6000
254028,11997
371358,5000
189146,5800
323353,19995
389551,47999
357981,402
272619,4500
351956,26777
273466,43999
37824,5450
348507,15995
159999,16900
264917,7900
396824,5500
248721,8750
381057,14950
119745,33995
2681,35995
254273,4250
284372,16800
327500,21000
322348,17994
262922,20900
412707,9200
1866,18999
7696,59800
229193,30415
102023,17990
341664,20998
418069,41950
355526,11990
222109,12980
299670,23900
211885,16999
352388,33999
208385,6300
268463,31819
198951,8995
185881,41995
214302,3800
185629,12000
269445,12000
323040,11990
285260,23257
404506,8995
350618,15950
200010,24995
342443,32053
